Conductivity,pH,Turbidity,quality
332.2,8.18,24.7,bad
498.1,10.16,14.0,bad
340.6,8.11,29.7,bad
573.0,8.13,19.3,bad
391.1,8.65,15.0,bad
607.0,7.92,16.0,bad
259.5,8.05,88.0,bad
523.0,8.23,1.84,bad
630.0,8.03,1.7,bad
676.0,8.29,2.97,bad
387.3,7.7,102.0,bad
370.0,7.6,30.1,bad
420.0,8.1,60.6,bad
433.0,7.9,50.8,bad
650.0,8.0,27.4,bad
225.0,7.8,22.5,bad
222.0,7.6,17.8,bad
304.0,7.9,17.1,bad
480.0,8.1,23.0,bad
562.0,8.2,12.3,bad
671.0,8.1,8.8,bad
684.0,8.5,11.1,bad
251.0,8.1,34.4,bad
270.0,7.7,19.6,bad
282.0,7.5,25.3,bad
328.0,7.5,20.2,bad
401.0,8.1,15.2,bad
538.0,7.6,18.5,bad
456.1,8.0,8.95,bad
464.4,7.74,13.6,bad
519.0,8.15,14.9,bad
283.5,8.05,15.1,bad
477.4,7.86,9.31,bad
492.7,8.2,16.1,bad
621.0,8.05,77.9,bad
709.0,8.78,34.9,bad
595.0,7.6,299.0,bad
520.0,7.58,31.1,bad
326.0,7.91,36.5,bad
455.3,8.28,39.4,bad
473.6,8.49,38.0,bad
600.0,8.04,28.6,bad
882.0,7.75,37.3,bad
397.1,7.42,104.0,bad
515.0,7.63,32.5,bad
867.0,8.1,54.6,bad
326.8,7.08,47.8,bad
350.8,7.47,462.0,bad
472.7,7.94,786.0,bad
440.0,8.88,74.6,bad
473.0,7.85,99.8,bad
958.0,8.44,25.7,bad
287.8,7.88,152.0,bad
441.3,8.47,32.6,bad
690.0,8.55,30.9,bad
475.5,8.16,111.0,bad
616.0,8.31,31.8,bad
329.4,7.75,113.0,bad
369.4,8.41,35.8,bad
407.7,8.27,39.8,bad
468.4,8.02,45.9,bad
605.0,8.32,9.85,bad
681.0,8.46,6.01,bad
431.9,8.3,130.0,bad
380.0,7.7,58.6,bad
210.0,7.2,388.0,bad
390.0,8.0,95.0,bad
441.0,8.3,41.6,bad
430.0,7.8,53.3,bad
286.0,7.9,38.7,bad
274.0,8.0,31.9,bad
266.0,7.7,27.1,bad
382.0,8.1,28.3,bad
551.0,8.1,19.7,bad
569.0,8.2,14.9,bad
506.0,8.3,14.7,bad
278.0,8.1,51.9,bad
363.0,8.1,34.8,bad
292.0,7.9,32.6,bad
336.0,8.3,27.2,bad
372.0,8.0,24.2,bad
531.0,8.22,22.0,bad
443.0,8.0,23.8,bad
467.3,8.16,13.4,bad
473.2,8.54,12.9,bad
492.9,8.41,13.6,bad
532.0,8.43,18.3,bad
497.5,8.26,20.4,bad
491.6,8.74,59.9,bad
691.0,8.66,34.3,bad
155.5,7.69,298.0,bad
223.8,7.51,218.0,bad
333.6,7.81,129.0,bad
356.9,8.37,65.2,bad
361.2,8.11,49.3,bad
410.5,8.53,69.3,bad
635.0,8.07,81.1,bad
632.0,7.93,42.6,bad
636.0,8.29,40.0,bad
1017.0,8.8,38.5,bad
268.6,7.15,136.0,bad
481.8,7.58,152.0,bad
276.3,7.37,407.0,bad
463.8,8.04,32.2,bad
450.1,7.43,26.7,bad
425.0,7.66,153.0,bad
390.1,8.0,99.0,bad
448.5,7.67,32.9,bad
637.0,8.36,77.4,bad
279.0,7.66,182.0,bad
554.0,7.73,79.7,bad
360.6,7.27,56.3,bad
302.7,7.04,262.0,bad
566.0,7.45,31.6,bad
642.0,7.73,32.6,bad
240.0,7.6,65.5,bad
410.0,8.0,13.8,bad
340.0,8.1,36.9,bad
444.0,7.6,65.5,bad
730.0,8.2,10.8,bad
550.0,8.4,48.4,bad
620.0,8.3,32.6,bad
772.0,8.2,30.9,bad
539.0,8.1,24.0,bad
724.0,8.3,14.1,bad
736.0,8.3,21.1,bad
712.0,8.6,8.1,bad
880.0,8.8,24.3,bad
911.0,8.0,31.1,bad
893.0,8.2,43.2,bad
716.0,8.3,31.9,bad
823.0,8.0,20.8,bad
899.0,8.2,28.3,bad
835.0,8.4,15.7,bad
1066.0,8.26,36.8,bad
1067.0,8.04,39.3,bad
1020.0,8.02,27.8,bad
1020.0,7.78,22.1,bad
730.0,8.28,27.1,bad
982.0,8.93,6.2,good
950.0,7.95,16.6,bad
363.9,7.49,470.0,bad
947.0,7.75,69.1,bad
1118.0,7.76,55.7,bad
1542.0,7.88,21.6,bad
1191.0,7.9,37.3,bad
1303.0,8.11,46.3,bad
1591.0,7.96,32.8,bad
1698.0,7.68,14.2,bad
1335.0,7.58,38.3,bad
1761.0,7.96,3.59,bad
671.0,7.18,295.0,bad
525.0,7.61,309.0,bad
659.0,8.1,290.0,bad
1008.0,8.23,34.3,bad
1058.0,8.22,26.5,bad
693.0,7.99,46.0,bad
345.8,7.62,82.1,bad
458.3,8.35,23.2,bad
815.0,8.06,21.6,bad
377.5,8.0,136.0,bad
956.0,8.07,49.7,bad
351.5,7.88,62.2,bad
695.0,8.05,28.6,bad
754.0,8.21,63.0,bad
482.9,8.0,32.3,bad
665.0,8.25,4.91,bad
719.0,7.95,4.78,bad
110.0,7.7,21.9,bad
100.0,8.2,24.3,bad
98.0,7.9,56.0,bad
120.0,8.5,3.5,bad
140.0,7.4,32.6,bad
164.0,7.2,19.2,bad
129.0,7.4,10.1,bad
138.0,7.5,17.6,bad
128.0,7.7,4.0,good
144.0,7.9,4.4,good
138.0,8.1,7.5,good
179.0,7.7,6.9,bad
158.0,7.6,5.1,bad
156.0,7.7,2.8,bad
171.0,7.3,22.2,bad
170.0,7.1,60.6,bad
241.3,7.42,5.59,bad
201.0,7.3,11.2,bad
204.4,7.79,5.27,bad
193.5,7.88,6.09,bad
194.5,7.95,6.75,bad
204.8,8.42,5.06,good
215.6,8.95,4.61,bad
213.5,8.6,5.49,bad
229.8,7.63,5.25,bad
241.0,7.57,3.23,bad
259.6,7.38,6.5,bad
265.0,7.77,6.56,bad
270.5,7.83,11.8,bad
289.1,7.75,6.21,bad
288.0,8.56,10.2,bad
379.7,8.42,7.13,bad
377.2,7.91,18.0,bad
383.6,7.39,10.6,bad
468.0,7.82,12.1,bad
178.2,7.15,20.4,bad
156.2,7.03,14.1,bad
163.9,7.5,24.3,bad
175.1,7.92,9.33,bad
154.0,7.89,7.72,bad
125.8,8.26,11.1,bad
117.9,7.89,16.5,bad
119.5,7.55,7.82,good
144.4,7.52,4.92,bad
134.4,7.4,6.04,bad
143.2,7.31,7.03,bad
135.6,7.34,62.7,bad
143.1,7.3,8.85,bad
136.7,7.37,6.31,bad
103.2,7.42,11.0,bad
128.7,7.5,4.25,good
135.5,7.6,5.35,good
220.0,7.4,9.8,bad
210.0,8.0,9.5,bad
350.0,7.7,7.6,bad
430.0,8.3,13.4,bad
440.0,8.0,6.9,bad
498.0,8.1,4.7,bad
315.0,7.9,4.5,bad
376.0,8.5,1.8,bad
371.0,8.2,0.8,good
386.0,8.1,1.4,good
432.0,8.1,5.7,bad
384.0,7.9,11.1,bad
166.0,8.0,26.4,bad
444.0,8.2,18.3,bad
431.0,7.52,3.67,bad
570.0,7.47,8.18,bad
549.0,7.75,3.93,bad
582.0,8.09,13.7,bad
607.0,8.23,4.25,bad
677.0,8.84,17.9,bad
817.0,8.14,45.4,bad
651.0,7.68,14.6,bad
504.0,8.03,7.01,bad
371.2,8.13,14.6,bad
337.8,8.22,6.88,bad
449.6,8.21,4.62,bad
374.0,8.07,2.54,good
291.7,8.22,5.19,bad
300.9,8.74,1.16,good
378.7,8.23,1.72,bad
300.4,8.05,3.31,bad
436.4,7.97,19.5,bad
185.9,7.57,80.9,bad
390.0,8.15,7.68,bad
373.5,8.14,9.53,bad
305.3,8.37,2.71,bad
353.0,8.19,2.21,bad
386.9,8.17,1.48,good
270.0,8.2,57.1,bad
340.0,7.7,170.0,bad
445.0,8.1,93.1,bad
490.0,7.9,34.2,bad
314.0,7.8,124.0,bad
250.0,7.7,110.0,bad
246.0,7.9,123.0,bad
260.0,7.9,110.0,bad
350.0,8.2,58.0,bad
160.0,8.0,227.0,bad
616.0,8.3,30.5,bad
587.0,8.2,60.6,bad
338.0,7.9,122.0,bad
326.0,8.1,66.8,bad
343.0,8.0,59.1,bad
386.0,7.9,47.8,bad
526.0,8.29,28.5,bad
636.0,8.1,25.0,bad
583.0,8.21,25.6,bad
160.1,7.66,255.0,bad
244.7,7.3,934.0,bad
110.0,6.83,637.0,bad
261.1,7.45,66.1,bad
283.1,8.19,18.8,bad
247.7,7.41,267.0,bad
384.3,8.88,37.6,bad
390.6,7.85,42.4,bad
516.0,7.95,80.5,bad
666.0,8.17,118.0,bad
270.5,7.41,198.0,bad
392.2,8.32,65.0,bad
359.5,7.42,172.0,bad
199.2,6.75,350.0,bad
456.3,7.64,66.7,bad
553.0,7.95,56.0,bad
150.0,7.1,22.3,bad
190.0,7.4,13.1,bad
170.0,7.8,16.6,bad
207.0,7.1,22.3,bad
520.0,7.4,11.2,bad
427.0,7.5,9.3,bad
447.0,7.4,13.7,bad
405.0,7.4,6.1,bad
150.0,7.6,13.6,bad
354.0,7.6,3.7,bad
376.0,7.8,1.9,bad
484.0,7.5,6.3,good
720.0,7.7,7.8,bad
685.0,7.5,10.1,bad
597.0,7.6,6.1,bad
396.0,7.8,9.4,bad
730.0,7.4,10.3,bad
805.0,7.5,17.3,bad
849.0,7.71,3.7,good
896.0,7.66,8.21,bad
894.0,7.75,19.4,bad
843.0,7.48,25.0,bad
471.9,7.77,7.62,bad
519.0,7.41,16.1,bad
655.0,8.91,12.7,bad
686.0,7.5,11.4,bad
532.0,7.32,306.0,bad
777.0,7.23,42.2,bad
1298.0,7.26,5.22,bad
1508.0,7.25,7.87,bad
1326.0,7.33,11.2,bad
836.0,7.74,14.8,bad
900.0,7.94,14.4,bad
890.0,7.6,13.0,bad
809.0,7.4,11.1,bad
1459.0,7.97,7.38,bad
318.1,7.23,175.0,bad
252.1,7.24,72.6,bad
402.2,7.61,63.9,bad
420.9,7.62,35.9,bad
473.4,7.79,24.5,bad
339.1,7.7,29.7,bad
186.8,7.78,34.7,bad
250.0,7.41,19.5,bad
371.4,7.06,18.8,bad
220.9,7.87,45.5,bad
678.0,7.49,13.5,bad
183.0,7.48,32.7,bad
362.8,7.39,17.6,bad
206.7,7.59,48.0,bad
235.5,7.46,15.3,bad
536.0,7.11,21.0,bad
411.9,7.59,10.9,bad
210.0,7.5,14.6,bad
260.0,7.7,8.0,good
200.0,7.7,39.4,bad
310.0,8.2,6.5,bad
360.0,7.8,9.7,bad
301.0,7.9,13.3,bad
388.0,7.9,16.4,bad
364.0,7.9,12.9,bad
308.0,7.6,13.3,bad
367.0,7.9,7.9,bad
397.0,8.1,4.2,bad
421.0,7.7,6.1,bad
407.0,7.8,9.7,bad
459.0,8.1,16.9,bad
428.0,7.9,12.0,bad
372.0,8.0,11.6,bad
402.0,7.8,13.0,bad
405.6,7.77,12.5,bad
383.0,8.0,9.6,bad
463.2,7.91,49.6,bad
438.4,8.02,13.4,bad
496.8,8.06,17.5,bad
413.0,7.71,15.0,bad
402.8,7.94,9.44,bad
414.3,7.53,9.58,bad
422.4,8.23,7.84,bad
370.3,7.72,215.0,bad
430.4,7.91,9.16,bad
524.0,8.02,9.15,bad
446.4,8.12,8.84,bad
611.0,8.21,14.4,bad
480.4,8.45,16.9,bad
544.0,8.17,10.9,bad
487.3,7.81,8.12,bad
469.1,7.83,11.4,bad
333.3,8.36,18.2,bad
595.0,7.46,84.6,bad
482.5,7.51,108.0,bad
714.0,7.86,48.2,bad
693.0,7.76,36.9,bad
737.0,7.88,37.9,bad
496.7,7.64,20.2,bad
311.3,7.97,36.5,bad
343.0,8.04,15.9,bad
532.0,7.93,8.6,bad
293.3,7.64,32.5,bad
494.7,7.9,17.4,bad
273.3,7.71,52.8,bad
477.5,7.72,7.18,bad
480.0,7.73,11.2,bad
316.4,7.64,18.8,bad
403.4,7.66,5.6,bad
382.0,7.94,4.6,bad
260.0,7.4,251.0,bad
250.0,8.1,119.0,bad
310.0,7.3,31.3,bad
613.0,8.6,81.0,bad
500.0,8.3,100.0,bad
389.0,8.1,108.0,bad
276.0,7.8,195.0,bad
258.0,7.9,144.0,bad
284.0,7.9,175.0,bad
320.0,8.2,83.3,bad
177.0,8.1,218.0,bad
508.0,8.5,31.0,bad
402.0,8.3,118.0,bad
374.0,8.3,114.0,bad
320.0,8.1,94.7,bad
431.0,8.1,88.5,bad
626.0,8.24,13.3,bad
587.0,8.46,21.6,bad
172.3,7.64,736.0,bad
278.2,7.64,64.5,bad
280.5,8.23,30.2,bad
265.9,7.52,224.0,bad
315.1,8.74,118.0,bad
443.4,7.74,78.8,bad
580.0,8.21,91.4,bad
778.0,7.89,127.0,bad
325.6,7.93,203.0,bad
351.1,7.57,329.0,bad
401.7,7.69,187.0,bad
179.7,6.65,330.0,bad
425.9,7.5,82.6,bad
554.0,7.92,73.9,bad
340.0,7.7,253.0,bad
570.0,8.2,61.8,bad
670.0,8.3,89.5,bad
587.0,8.0,89.7,bad
950.0,8.5,22.1,bad
1130.0,8.6,18.6,bad
1245.0,8.4,25.9,bad
1207.0,8.7,43.6,bad
1173.0,8.5,17.6,bad
920.0,8.9,17.0,bad
1034.0,8.4,11.8,bad
1353.0,8.7,26.6,bad
1497.0,8.6,35.7,bad
266.4,7.76,643.0,bad
378.0,7.23,104.0,bad
410.1,7.89,148.0,bad
776.0,7.84,106.0,bad
322.9,7.63,20.8,bad
310.2,7.56,342.0,bad
302.0,7.64,423.0,bad
497.0,8.81,51.4,bad
732.0,8.4,28.5,bad
767.0,8.62,9.83,bad
422.3,7.89,207.0,bad
772.0,8.75,21.7,bad
850.0,8.97,29.1,bad
455.4,8.03,152.0,bad
733.0,8.47,37.1,bad
632.0,8.47,29.6,bad
654.0,8.58,36.5,bad
555.0,8.4,56.1,bad
830.0,8.53,26.1,bad
1100.0,8.58,11.6,bad
631.0,8.2,18.9,bad
600.0,8.8,47.7,bad
668.0,9.0,62.4,bad
744.0,9.4,174.0,bad
115.2,7.92,519.0,bad
73.5,7.69,670.0,bad
124.8,8.33,200.0,bad
159.6,8.1,131.0,bad
202.3,8.57,37.1,bad
244.2,9.11,44.6,bad
291.0,8.35,484.0,bad
228.1,7.7,202.0,bad
260.2,7.72,217.0,bad
277.7,7.56,491.0,bad
244.9,8.73,92.0,bad
287.5,8.11,383.0,bad
331.2,7.92,385.0,bad
344.9,8.06,119.0,bad
390.8,8.67,144.0,bad
356.3,7.95,610.0,bad
310.9,7.59,113.0,bad
416.8,8.59,62.8,bad
249.7,7.69,266.0,bad
303.6,8.68,226.0,bad
365.7,8.43,223.0,bad
297.5,8.53,111.0,bad
317.4,7.9,246.0,bad
322.2,8.16,213.0,bad
